,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,05:35 PM,06:35 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,02/23/19,02/23/19,08:35 PM,09:35 PM,False,True,02/23/19,04:35 PM,05:35 PM,FREE,BUSY
1,02/24/19,12:05 PM,01:05 PM,Braves at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 AM/94.5 FM HD-2,02/24/19,02/24/19,03:05 PM,04:05 PM,False,True,02/24/19,11:05 AM,12:05 PM,FREE,BUSY
2,02/24/19,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,,02/24/19,02/24/19,03:10 PM,04:10 PM,False,True,02/24/19,11:10 AM,12:10 PM,FREE,BUSY
3,02/25/19,12:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW- MLBN (out-of-market only) ----- Local Radio: KBME 790 AM/94.5 FM HD-2,02/25/19,02/25/19,03:05 PM,04:05 PM,False,True,02/25/19,11:05 AM,12:05 PM,FREE,BUSY
4,02/26/19,12:05 PM,01:05 PM,Astros at Marlins,Roger Dean Chevrolet Stadium - Jupiter,Local Radio: KBME 790 (delay),02/26/19,02/26/19,03:05 PM,04:05 PM,False,True,02/26/19,11:05 AM,12:05 PM,FREE,BUSY
5,02/27/19,12:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW- ESPN+ ----- Local Radio: KBME 790 AM/94.5 FM HD-2,02/27/19,02/27/19,03:05 PM,04:05 PM,False,True,02/27/19,11:05 AM,12:05 PM,FREE,BUSY
6,02/28/19,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW- ESPN+ ----- Local Radio: KBME 790 AM/94.5 FM HD-2,02/28/19,02/28/19,03:05 PM,04:05 PM,False,True,02/28/19,11:05 AM,12:05 PM,FREE,BUSY
7,03/01/19,05:05 PM,06:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,03/01/19,03/01/19,08:05 PM,09:05 PM,False,True,03/01/19,04:05 PM,05:05 PM,FREE,BUSY
8,03/02/19,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,Local TV: MLBN ----- Local Radio: KBME 790 AM/94.5 FM HD-2,03/02/19,03/02/19,03:10 PM,04:10 PM,False,True,03/02/19,11:10 AM,12:10 PM,FREE,BUSY
9,03/03/19,12:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,03/03/19,03/03/19,03:05 PM,04:05 PM,False,True,03/03/19,11:05 AM,12:05 PM,FREE,BUSY
