,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/22/19,12:10 PM,03:10 PM,Athletics at Mariners,Peoria Stadium - Peoria,Local Radio: KTRB 860,02/22/19,02/22/19,03:10 PM,06:10 PM,False,True,02/22/19,11:10 AM,02:10 PM,FREE,BUSY
1,02/23/19,12:05 PM,03:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,02/23/19,02/23/19,03:05 PM,06:05 PM,False,True,02/23/19,11:05 AM,02:05 PM,FREE,BUSY
2,02/24/19,12:05 PM,03:05 PM,Royals at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,02/24/19,02/24/19,03:05 PM,06:05 PM,False,True,02/24/19,11:05 AM,02:05 PM,FREE,BUSY
3,02/25/19,12:10 PM,03:10 PM,Athletics at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: KTRB 860,02/25/19,02/25/19,03:10 PM,06:10 PM,False,True,02/25/19,11:10 AM,02:10 PM,FREE,BUSY
4,02/26/19,12:05 PM,03:05 PM,Angels at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,02/26/19,02/26/19,03:05 PM,06:05 PM,False,True,02/26/19,11:05 AM,02:05 PM,FREE,BUSY
5,02/27/19,12:05 PM,03:05 PM,Dodgers at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,02/27/19,02/27/19,03:05 PM,06:05 PM,False,True,02/27/19,11:05 AM,02:05 PM,FREE,BUSY
6,02/28/19,12:05 PM,03:05 PM,Athletics at Cubs,Sloan Park - Mesa,Local Radio: KTRB 860,02/28/19,02/28/19,03:05 PM,06:05 PM,False,True,02/28/19,11:05 AM,02:05 PM,FREE,BUSY
7,03/01/19,12:05 PM,03:05 PM,Rockies at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,03/01/19,03/01/19,03:05 PM,06:05 PM,False,True,03/01/19,11:05 AM,02:05 PM,FREE,BUSY
8,03/02/19,12:05 PM,03:05 PM,Indians at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,03/02/19,03/02/19,03:05 PM,06:05 PM,False,True,03/02/19,11:05 AM,02:05 PM,FREE,BUSY
9,03/03/19,12:10 PM,03:10 PM,Athletics at Angels,Tempe Diablo Stadium - Tempe,Local Radio: KTRB 860,03/03/19,03/03/19,03:10 PM,06:10 PM,False,True,03/03/19,11:10 AM,02:10 PM,FREE,BUSY
