,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,01:07 PM,01:07 PM,Tigers at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,02/23/19,02/23/19,04:07 PM,04:07 PM,False,True,02/23/19,12:07 PM,12:07 PM,FREE,BUSY
1,02/24/19,01:05 PM,01:05 PM,Blue Jays at Orioles,Ed Smith Stadium - Sarasota,Local Radio: SN590,02/24/19,02/24/19,04:05 PM,04:05 PM,False,True,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/25/19,01:05 PM,01:05 PM,Blue Jays at Yankees,George M. Steinbrenner Field - Tampa,Local TV: RSN- ESPN+ ----- Local Radio: MLB.com,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/27/19,01:05 PM,01:05 PM,Blue Jays at Pirates,LECOM Park - Bradenton,Local Radio: MLB.com,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
4,02/28/19,01:07 PM,01:07 PM,Phillies at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,02/28/19,02/28/19,04:07 PM,04:07 PM,False,True,02/28/19,12:07 PM,12:07 PM,FREE,BUSY
5,03/01/19,01:05 PM,01:05 PM,Blue Jays at Braves,Champion Stadium - Lake Buena Vista,,03/01/19,03/01/19,04:05 PM,04:05 PM,False,True,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/01/19,01:07 PM,01:07 PM,Pirates at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/01/19,03/01/19,04:07 PM,04:07 PM,False,True,03/01/19,12:07 PM,12:07 PM,FREE,BUSY
7,03/02/19,01:07 PM,01:07 PM,Rays at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,03/02/19,03/02/19,04:07 PM,04:07 PM,False,True,03/02/19,12:07 PM,12:07 PM,FREE,BUSY
8,03/03/19,01:07 PM,01:07 PM,Yankees at Blue Jays,Dunedin Stadium - Dunedin,Local TV: SN ----- Local Radio: SN590,03/03/19,03/03/19,04:07 PM,04:07 PM,False,True,03/03/19,12:07 PM,12:07 PM,FREE,BUSY
9,03/05/19,01:05 PM,01:05 PM,Blue Jays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: MLB.com,03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/06/19,01:07 PM,01:07 PM,Phillies at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/06/19,03/06/19,04:07 PM,04:07 PM,False,True,03/06/19,12:07 PM,12:07 PM,FREE,BUSY
11,03/07/19,01:05 PM,01:05 PM,Blue Jays at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: MLB.com,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
12,03/08/19,01:05 PM,01:05 PM,Blue Jays at Pirates,LECOM Park - Bradenton,,03/08/19,03/08/19,04:05 PM,04:05 PM,False,True,03/08/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/08/19,01:07 PM,01:07 PM,Pirates at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/08/19,03/08/19,04:07 PM,04:07 PM,False,True,03/08/19,12:07 PM,12:07 PM,FREE,BUSY
14,03/09/19,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,Local TV: RSN ----- Local Radio: SN590,03/09/19,03/09/19,04:05 PM,04:05 PM,False,True,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
15,03/10/19,01:05 PM,01:05 PM,Blue Jays at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: SN590,03/10/19,03/10/19,04:05 PM,04:05 PM,False,True,03/10/19,12:05 PM,12:05 PM,FREE,BUSY
16,03/12/19,01:07 PM,01:07 PM,Rays at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,03/12/19,03/12/19,04:07 PM,04:07 PM,False,True,03/12/19,12:07 PM,12:07 PM,FREE,BUSY
17,03/13/19,01:05 PM,01:05 PM,Blue Jays at Orioles,Ed Smith Stadium - Sarasota,Local Radio: SN590,03/13/19,03/13/19,04:05 PM,04:05 PM,False,True,03/13/19,12:05 PM,12:05 PM,FREE,BUSY
