,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,02:05 PM,03:05 PM,Brewers at Cubs,Sloan Park - Mesa,Local Radio: WTMJ 620,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/24/19,03:05 PM,04:05 PM,Brewers at Rangers,Surprise Stadium - Surprise,Local Radio: WTMJ 620,02/24/19,02/24/19,06:05 PM,07:05 PM,False,True,02/24/19,02:05 PM,03:05 PM,FREE,BUSY
2,02/25/19,02:10 PM,03:10 PM,Brewers at Angels,Tempe Diablo Stadium - Tempe,Local TV: FSWI ----- Local Radio: WTMJ 620,02/25/19,02/25/19,05:10 PM,06:10 PM,False,True,02/25/19,01:10 PM,02:10 PM,FREE,BUSY
3,02/26/19,02:05 PM,03:05 PM,Padres at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
4,02/27/19,02:05 PM,03:05 PM,Indians at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: 94.5 ESPN Milwaukee,02/27/19,02/27/19,05:05 PM,06:05 PM,False,True,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
5,02/28/19,02:05 PM,03:05 PM,Brewers at Reds,Goodyear Ballpark - Goodyear,,02/28/19,02/28/19,05:05 PM,06:05 PM,False,True,02/28/19,01:05 PM,02:05 PM,FREE,BUSY
6,02/28/19,02:05 PM,03:05 PM,Giants at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI,02/28/19,02/28/19,05:05 PM,06:05 PM,False,True,02/28/19,01:05 PM,02:05 PM,FREE,BUSY
7,03/01/19,02:10 PM,03:10 PM,Brewers at Mariners,Peoria Stadium - Peoria,Local Radio: MLB.com,03/01/19,03/01/19,05:10 PM,06:10 PM,False,True,03/01/19,01:10 PM,02:10 PM,FREE,BUSY
8,03/02/19,02:05 PM,03:05 PM,Brewers at Cubs,Sloan Park - Mesa,Local Radio: WTMJ 620,03/02/19,03/02/19,05:05 PM,06:05 PM,False,True,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
9,03/03/19,02:05 PM,03:05 PM,Reds at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,03/03/19,03/03/19,05:05 PM,06:05 PM,False,True,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
10,03/05/19,02:10 PM,03:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local Radio: 94.5 ESPN Milwaukee,03/05/19,03/05/19,05:10 PM,06:10 PM,False,True,03/05/19,01:10 PM,02:10 PM,FREE,BUSY
11,03/06/19,02:05 PM,03:05 PM,D-backs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,03/06/19,03/06/19,05:05 PM,06:05 PM,False,True,03/06/19,01:05 PM,02:05 PM,FREE,BUSY
12,03/07/19,02:05 PM,03:05 PM,Brewers at White Sox,Camelback Ranch - Glendale,Local Radio: MLB.com,03/07/19,03/07/19,05:05 PM,06:05 PM,False,True,03/07/19,01:05 PM,02:05 PM,FREE,BUSY
13,03/08/19,01:05 PM,02:05 PM,D-backs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,03/08/19,03/08/19,04:05 PM,05:05 PM,False,True,03/08/19,12:05 PM,01:05 PM,FREE,BUSY
14,03/09/19,02:05 PM,03:05 PM,Brewers at Athletics,Hohokam Stadium - Mesa,Local Radio: WTMJ 620,03/09/19,03/09/19,05:05 PM,06:05 PM,False,True,03/09/19,01:05 PM,02:05 PM,FREE,BUSY
15,03/09/19,02:10 PM,03:10 PM,Brewers at Angels,Tempe Diablo Stadium - Tempe,Local TV: FSWI,03/09/19,03/09/19,05:10 PM,06:10 PM,False,True,03/09/19,01:10 PM,02:10 PM,FREE,BUSY
16,03/10/19,03:05 PM,04:05 PM,Cubs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: 94.5 ESPN Milwaukee,03/10/19,03/10/19,06:05 PM,07:05 PM,False,True,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
17,03/11/19,03:05 PM,04:05 PM,White Sox at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: 94.5 ESPN Milwaukee,03/11/19,03/11/19,06:05 PM,07:05 PM,False,True,03/11/19,02:05 PM,03:05 PM,FREE,BUSY
18,03/12/19,09:05 PM,10:05 PM,Brewers at Giants,Scottsdale Stadium - Scottsdale,Local Radio: MLB.com,03/13/19,03/13/19,12:05 AM,01:05 AM,False,True,03/12/19,08:05 PM,09:05 PM,FREE,BUSY
19,03/13/19,03:05 PM,04:05 PM,Brewers at Indians,Goodyear Ballpark - Goodyear,Local Radio: MLB.com,03/13/19,03/13/19,06:05 PM,07:05 PM,False,True,03/13/19,02:05 PM,03:05 PM,FREE,BUSY
20,03/14/19,03:05 PM,04:05 PM,Angels at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,03/14/19,03/14/19,06:05 PM,07:05 PM,False,True,03/14/19,02:05 PM,03:05 PM,FREE,BUSY
21,03/15/19,03:05 PM,04:05 PM,Padres at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: MLB.com,03/15/19,03/15/19,06:05 PM,07:05 PM,False,True,03/15/19,02:05 PM,03:05 PM,FREE,BUSY
