,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,12:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,Local TV: FS-M+ ----- Local Radio: KMOX 1120- CRN,02/23/19,02/23/19,03:05 PM,04:05 PM,False,True,02/23/19,11:05 AM,12:05 PM,FREE,BUSY
1,02/24/19,12:05 PM,01:05 PM,Nationals at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local TV: FS-M- ESPN+ ----- Local Radio: KMOX 1120- CRN,02/24/19,02/24/19,03:05 PM,04:05 PM,False,True,02/24/19,11:05 AM,12:05 PM,FREE,BUSY
2,02/25/19,12:05 PM,01:05 PM,Tigers at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local TV: FS-M ----- Local Radio: KMOX 1120- CRN,02/25/19,02/25/19,03:05 PM,04:05 PM,False,True,02/25/19,11:05 AM,12:05 PM,FREE,BUSY
3,02/26/19,12:05 PM,01:05 PM,Cardinals at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: MLB.com,02/26/19,02/26/19,03:05 PM,04:05 PM,False,True,02/26/19,11:05 AM,12:05 PM,FREE,BUSY
4,02/27/19,12:05 PM,01:05 PM,Braves at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local Radio: KMOX 1120- CRN,02/27/19,02/27/19,03:05 PM,04:05 PM,False,True,02/27/19,11:05 AM,12:05 PM,FREE,BUSY
5,02/28/19,12:05 PM,01:05 PM,Mets at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local Radio: KMOX 1120- CRN,02/28/19,02/28/19,03:05 PM,04:05 PM,False,True,02/28/19,11:05 AM,12:05 PM,FREE,BUSY
6,03/01/19,05:05 PM,06:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: MLB.com,03/01/19,03/01/19,08:05 PM,09:05 PM,False,True,03/01/19,04:05 PM,05:05 PM,FREE,BUSY
7,03/02/19,12:05 PM,01:05 PM,Marlins at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local TV: FS-M ----- Local Radio: KMOX 1120- CRN,03/02/19,03/02/19,03:05 PM,04:05 PM,False,True,03/02/19,11:05 AM,12:05 PM,FREE,BUSY
8,03/03/19,12:05 PM,01:05 PM,Mets at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local TV: FS-M ----- Local Radio: KMOX 1120- CRN,03/03/19,03/03/19,03:05 PM,04:05 PM,False,True,03/03/19,11:05 AM,12:05 PM,FREE,BUSY
9,03/04/19,12:05 PM,01:05 PM,Cardinals at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: MLB.com,03/04/19,03/04/19,03:05 PM,04:05 PM,False,True,03/04/19,11:05 AM,12:05 PM,FREE,BUSY
10,03/05/19,12:05 PM,01:05 PM,Cardinals at Phillies,Spectrum Field - Clearwater,Local TV: MLBN ----- Local Radio: MLB.com,03/05/19,03/05/19,03:05 PM,04:05 PM,False,True,03/05/19,11:05 AM,12:05 PM,FREE,BUSY
11,03/06/19,12:05 PM,01:05 PM,Cardinals at Yankees,George M. Steinbrenner Field - Tampa,Local Radio: MLB.com,03/06/19,03/06/19,03:05 PM,04:05 PM,False,True,03/06/19,11:05 AM,12:05 PM,FREE,BUSY
12,03/08/19,12:05 PM,01:05 PM,Nationals at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,,03/08/19,03/08/19,03:05 PM,04:05 PM,False,True,03/08/19,11:05 AM,12:05 PM,FREE,BUSY
13,03/08/19,05:05 PM,06:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KMOX 1120- CRN,03/08/19,03/08/19,08:05 PM,09:05 PM,False,True,03/08/19,04:05 PM,05:05 PM,FREE,BUSY
