,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,02:05 PM,03:05 PM,Brewers at Cubs,Sloan Park - Mesa,Local Radio: 670 The Score,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/24/19,02:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,Local Radio: 670 The Score,02/24/19,02/24/19,05:05 PM,06:05 PM,False,True,02/24/19,01:05 PM,02:05 PM,FREE,BUSY
2,02/25/19,02:05 PM,03:05 PM,Cubs at Dodgers,Camelback Ranch - Glendale,,02/25/19,02/25/19,05:05 PM,06:05 PM,False,True,02/25/19,01:05 PM,02:05 PM,FREE,BUSY
3,02/25/19,02:05 PM,03:05 PM,Padres at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,02/25/19,02/25/19,05:05 PM,06:05 PM,False,True,02/25/19,01:05 PM,02:05 PM,FREE,BUSY
4,02/26/19,02:05 PM,03:05 PM,D-backs at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
5,02/27/19,02:05 PM,03:05 PM,Cubs at Rangers,Surprise Stadium - Surprise,Local Radio: MLB.com,02/27/19,02/27/19,05:05 PM,06:05 PM,False,True,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
6,02/28/19,02:05 PM,03:05 PM,Athletics at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,02/28/19,02/28/19,05:05 PM,06:05 PM,False,True,02/28/19,01:05 PM,02:05 PM,FREE,BUSY
7,03/01/19,02:10 PM,03:10 PM,Cubs at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: MLB.com,03/01/19,03/01/19,05:10 PM,06:10 PM,False,True,03/01/19,01:10 PM,02:10 PM,FREE,BUSY
8,03/02/19,02:05 PM,03:05 PM,Brewers at Cubs,Sloan Park - Mesa,Local TV: WGN ----- Local Radio: 670 The Score,03/02/19,03/02/19,05:05 PM,06:05 PM,False,True,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
9,03/03/19,02:05 PM,03:05 PM,White Sox at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/03/19,03/03/19,05:05 PM,06:05 PM,False,True,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
10,03/04/19,02:05 PM,03:05 PM,Cubs at Reds,Goodyear Ballpark - Goodyear,Local Radio: MLB.com,03/04/19,03/04/19,05:05 PM,06:05 PM,False,True,03/04/19,01:05 PM,02:05 PM,FREE,BUSY
11,03/05/19,02:10 PM,03:10 PM,Cubs at Angels,Tempe Diablo Stadium - Tempe,Local Radio: MLB.com,03/05/19,03/05/19,05:10 PM,06:10 PM,False,True,03/05/19,01:10 PM,02:10 PM,FREE,BUSY
12,03/06/19,02:05 PM,03:05 PM,Royals at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/06/19,03/06/19,05:05 PM,06:05 PM,False,True,03/06/19,01:05 PM,02:05 PM,FREE,BUSY
13,03/07/19,02:05 PM,03:05 PM,Rockies at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/07/19,03/07/19,05:05 PM,06:05 PM,False,True,03/07/19,01:05 PM,02:05 PM,FREE,BUSY
14,03/08/19,07:40 PM,08:40 PM,Cubs at Mariners,Peoria Stadium - Peoria,Local TV: MLBN ----- Local Radio: MLB.com,03/08/19,03/08/19,10:40 PM,11:40 PM,False,True,03/08/19,06:40 PM,07:40 PM,FREE,BUSY
15,03/09/19,02:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,,03/09/19,03/09/19,05:05 PM,06:05 PM,False,True,03/09/19,01:05 PM,02:05 PM,FREE,BUSY
16,03/09/19,02:05 PM,03:05 PM,Angels at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/09/19,03/09/19,05:05 PM,06:05 PM,False,True,03/09/19,01:05 PM,02:05 PM,FREE,BUSY
17,03/10/19,03:05 PM,04:05 PM,Cubs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: WGN ----- Local Radio: 670 The Score,03/10/19,03/10/19,06:05 PM,07:05 PM,False,True,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
18,03/12/19,09:05 PM,10:05 PM,Reds at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/13/19,03/13/19,12:05 AM,01:05 AM,False,True,03/12/19,08:05 PM,09:05 PM,FREE,BUSY
19,03/13/19,03:05 PM,04:05 PM,Cubs at Athletics,Hohokam Stadium - Mesa,Local Radio: MLB.com,03/13/19,03/13/19,06:05 PM,07:05 PM,False,True,03/13/19,02:05 PM,03:05 PM,FREE,BUSY
20,03/14/19,03:05 PM,04:05 PM,Rangers at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/14/19,03/14/19,06:05 PM,07:05 PM,False,True,03/14/19,02:05 PM,03:05 PM,FREE,BUSY
21,03/15/19,03:05 PM,04:05 PM,Cubs at White Sox,Camelback Ranch - Glendale,Local TV: MLBN ----- Local Radio: 670 The Score,03/15/19,03/15/19,06:05 PM,07:05 PM,False,True,03/15/19,02:05 PM,03:05 PM,FREE,BUSY
22,03/16/19,03:10 PM,04:10 PM,Cubs at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: 670 The Score,03/16/19,03/16/19,06:10 PM,07:10 PM,False,True,03/16/19,02:10 PM,03:10 PM,FREE,BUSY
23,03/17/19,03:05 PM,04:05 PM,Rockies at Cubs,Sloan Park - Mesa,Local TV: NBCSCH ----- Local Radio: MLB.com,03/17/19,03/17/19,06:05 PM,07:05 PM,False,True,03/17/19,02:05 PM,03:05 PM,FREE,BUSY
24,03/19/19,03:05 PM,04:05 PM,Mariners at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/19/19,03/19/19,06:05 PM,07:05 PM,False,True,03/19/19,02:05 PM,03:05 PM,FREE,BUSY
25,03/19/19,08:05 PM,09:05 PM,Cubs at Royals,Surprise Stadium - Surprise,Local Radio: 670 The Score,03/19/19,03/20/19,11:05 PM,12:05 AM,False,True,03/19/19,07:05 PM,08:05 PM,FREE,BUSY
26,03/20/19,09:05 PM,10:05 PM,Dodgers at Cubs,Sloan Park - Mesa,Local TV: MLBN (out-of-market only) ----- Local Radio: MLB.com,03/21/19,03/21/19,12:05 AM,01:05 AM,False,True,03/20/19,08:05 PM,09:05 PM,FREE,BUSY
27,03/21/19,03:05 PM,04:05 PM,Giants at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/21/19,03/21/19,06:05 PM,07:05 PM,False,True,03/21/19,02:05 PM,03:05 PM,FREE,BUSY
28,03/22/19,03:05 PM,04:05 PM,Rangers at Cubs,Sloan Park - Mesa,Local TV: WGN ----- Local Radio: MLB.com,03/22/19,03/22/19,06:05 PM,07:05 PM,False,True,03/22/19,02:05 PM,03:05 PM,FREE,BUSY
29,03/22/19,08:05 PM,09:05 PM,Cubs at Indians,Goodyear Ballpark - Goodyear,Local Radio: 670 The Score,03/22/19,03/23/19,11:05 PM,12:05 AM,False,True,03/22/19,07:05 PM,08:05 PM,FREE,BUSY
30,03/23/19,08:40 PM,09:40 PM,Cubs at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local TV: MLBN ----- Local Radio: MLB.com,03/23/19,03/24/19,11:40 PM,12:40 AM,False,True,03/23/19,07:40 PM,08:40 PM,FREE,BUSY
31,03/24/19,02:10 PM,03:10 PM,Cubs at Padres,Peoria Stadium - Peoria,Local TV: WGN ----- Local Radio: 670 The Score,03/24/19,03/24/19,05:10 PM,06:10 PM,False,True,03/24/19,01:10 PM,02:10 PM,FREE,BUSY
32,03/25/19,08:05 PM,09:05 PM,Red Sox at Cubs,Sloan Park - Mesa,Local TV: NBCSCH- ESPN+ ----- Local Radio: 670 The Score,03/25/19,03/26/19,11:05 PM,12:05 AM,False,True,03/25/19,07:05 PM,08:05 PM,FREE,BUSY
33,03/26/19,02:05 PM,03:05 PM,Red Sox at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/26/19,03/26/19,05:05 PM,06:05 PM,False,True,03/26/19,01:05 PM,02:05 PM,FREE,BUSY
34,03/28/19,03:05 PM,04:05 PM,Cubs at Rangers,Globe Life Park in Arlington - Arlington,Local TV: WGN ----- Local Radio: 670 The Score,03/28/19,03/28/19,06:05 PM,07:05 PM,False,True,03/28/19,02:05 PM,03:05 PM,FREE,BUSY
35,03/30/19,07:05 PM,08:05 PM,Cubs at Rangers,Globe Life Park in Arlington - Arlington,Local TV: NBCSCH ----- Local Radio: 670 The Score,03/30/19,03/30/19,10:05 PM,11:05 PM,False,True,03/30/19,06:05 PM,07:05 PM,FREE,BUSY
36,03/31/19,03:05 PM,04:05 PM,Cubs at Rangers,Globe Life Park in Arlington - Arlington,Local TV: NBCSCH- ESPN (out-of-market only) ----- Local Radio: 670 The Score,03/31/19,03/31/19,06:05 PM,07:05 PM,False,True,03/31/19,02:05 PM,03:05 PM,FREE,BUSY
37,04/01/19,06:10 PM,07:10 PM,Cubs at Braves,SunTrust Park - Atlanta,Local TV: NBCSCH+- ESPN ----- Local Radio: 670 The Score,04/01/19,04/01/19,09:10 PM,10:10 PM,False,True,04/01/19,05:10 PM,06:10 PM,FREE,BUSY
38,04/03/19,06:20 PM,07:20 PM,Cubs at Braves,SunTrust Park - Atlanta,Local TV: WGN- ESPN (out-of-market only) ----- Local Radio: 670 The Score,04/03/19,04/03/19,09:20 PM,10:20 PM,False,True,04/03/19,05:20 PM,06:20 PM,FREE,BUSY
39,04/04/19,06:20 PM,07:20 PM,Cubs at Braves,SunTrust Park - Atlanta,Local TV: NBCSCH- MLBN (out-of-market only) ----- Local Radio: 670 The Score,04/04/19,04/04/19,09:20 PM,10:20 PM,False,True,04/04/19,05:20 PM,06:20 PM,FREE,BUSY
40,04/05/19,07:10 PM,08:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: WGN ----- Local Radio: 670 The Score,04/05/19,04/05/19,10:10 PM,11:10 PM,False,True,04/05/19,06:10 PM,07:10 PM,FREE,BUSY
41,04/06/19,06:10 PM,07:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: NBCSCH+- FS1 ----- Local Radio: 670 The Score,04/06/19,04/06/19,09:10 PM,10:10 PM,False,True,04/06/19,05:10 PM,06:10 PM,FREE,BUSY
42,04/07/19,01:10 PM,02:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: NBCSCH- MLBN (out-of-market only) ----- Local Radio: 670 The Score,04/07/19,04/07/19,04:10 PM,05:10 PM,False,True,04/07/19,12:10 PM,01:10 PM,FREE,BUSY
43,04/08/19,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,Local TV: ABC 7- MLBN (out-of-market only) ----- Local Radio: 670 The Score,04/08/19,04/08/19,04:20 PM,05:20 PM,False,True,04/08/19,12:20 PM,01:20 PM,FREE,BUSY
44,04/10/19,07:05 PM,08:05 PM,Pirates at Cubs,Wrigley Field - Chicago,Local TV: WGN ----- Local Radio: 670 The Score,04/10/19,04/10/19,10:05 PM,11:05 PM,False,True,04/10/19,06:05 PM,07:05 PM,FREE,BUSY
45,04/11/19,06:35 PM,07:35 PM,Pirates at Cubs,Wrigley Field - Chicago,Local TV: NBCSCH- MLBN (out-of-market only) ----- Local Radio: 670 The Score,04/11/19,04/11/19,09:35 PM,10:35 PM,False,True,04/11/19,05:35 PM,06:35 PM,FREE,BUSY
