,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/22/19,12:10 PM,03:10 PM,Athletics at Mariners,Peoria Stadium - Peoria,Local TV: ROOTNW ----- Local Radio: 710 ESPN,02/22/19,02/22/19,03:10 PM,06:10 PM,False,True,02/22/19,11:10 AM,02:10 PM,FREE,BUSY
1,02/23/19,12:10 PM,03:10 PM,Padres at Mariners,Peoria Stadium - Peoria,Local TV: ROOTNW ----- Local Radio: 710 ESPN,02/23/19,02/23/19,03:10 PM,06:10 PM,False,True,02/23/19,11:10 AM,02:10 PM,FREE,BUSY
2,02/24/19,12:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local Radio: 710 ESPN,02/24/19,02/24/19,03:10 PM,06:10 PM,False,True,02/24/19,11:10 AM,02:10 PM,FREE,BUSY
3,02/25/19,12:10 PM,03:10 PM,Reds at Mariners,Peoria Stadium - Peoria,Local TV: ROOTNW ----- Local Radio: 710 ESPN (delay),02/25/19,02/25/19,03:10 PM,06:10 PM,False,True,02/25/19,11:10 AM,02:10 PM,FREE,BUSY
4,02/26/19,12:10 PM,03:10 PM,Rangers at Mariners,Peoria Stadium - Peoria,Local TV: ROOTNW ----- Local Radio: 710 ESPN (delay),02/26/19,02/26/19,03:10 PM,06:10 PM,False,True,02/26/19,11:10 AM,02:10 PM,FREE,BUSY
5,02/27/19,12:05 PM,03:05 PM,Mariners at Indians,Goodyear Ballpark - Goodyear,Local Radio: 710 ESPN (delay),02/27/19,02/27/19,03:05 PM,06:05 PM,False,True,02/27/19,11:05 AM,02:05 PM,FREE,BUSY
6,02/28/19,12:10 PM,03:10 PM,White Sox at Mariners,Peoria Stadium - Peoria,Local TV: ROOTNW ----- Local Radio: 710 ESPN,02/28/19,02/28/19,03:10 PM,06:10 PM,False,True,02/28/19,11:10 AM,02:10 PM,FREE,BUSY
7,03/01/19,12:10 PM,03:10 PM,Brewers at Mariners,Peoria Stadium - Peoria,Local TV: ROOTNW ----- Local Radio: 710 ESPN,03/01/19,03/01/19,03:10 PM,06:10 PM,False,True,03/01/19,11:10 AM,02:10 PM,FREE,BUSY
8,03/02/19,12:05 PM,03:05 PM,Mariners at Royals,Surprise Stadium - Surprise,Local Radio: 710 ESPN,03/02/19,03/02/19,03:05 PM,06:05 PM,False,True,03/02/19,11:05 AM,02:05 PM,FREE,BUSY
9,03/03/19,12:10 PM,03:10 PM,D-backs at Mariners,Peoria Stadium - Peoria,Local TV: ROOTNW ----- Local Radio: 710 ESPN,03/03/19,03/03/19,03:10 PM,06:10 PM,False,True,03/03/19,11:10 AM,02:10 PM,FREE,BUSY
10,03/05/19,12:10 PM,03:10 PM,Mariners at Padres,Peoria Stadium - Peoria,Local Radio: 710 ESPN (delay),03/05/19,03/05/19,03:10 PM,06:10 PM,False,True,03/05/19,11:10 AM,02:10 PM,FREE,BUSY
11,03/06/19,05:40 PM,08:40 PM,Athletics at Mariners,Peoria Stadium - Peoria,Local TV: ROOTNW ----- Local Radio: 710 ESPN,03/06/19,03/06/19,08:40 PM,11:40 PM,False,True,03/06/19,04:40 PM,07:40 PM,FREE,BUSY
