,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,01:10 PM,01:10 PM,Braves at Mets,First Data Field - Port St. Lucie,Local TV: SNY- ESPN+ ----- Local Radio: WCBS 880,02/23/19,02/23/19,04:10 PM,04:10 PM,False,True,02/23/19,12:10 PM,12:10 PM,FREE,BUSY
1,02/24/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,Local TV: WPIX ----- Local Radio: WCBS 880,02/24/19,02/24/19,04:10 PM,04:10 PM,False,True,02/24/19,12:10 PM,12:10 PM,FREE,BUSY
2,02/25/19,01:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MLBN,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/26/19,01:05 PM,01:05 PM,Mets at Braves,Champion Stadium - Lake Buena Vista,,02/26/19,02/26/19,04:05 PM,04:05 PM,False,True,02/26/19,12:05 PM,12:05 PM,FREE,BUSY
4,02/26/19,01:10 PM,01:10 PM,Tigers at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),02/26/19,02/26/19,04:10 PM,04:10 PM,False,True,02/26/19,12:10 PM,12:10 PM,FREE,BUSY
5,02/27/19,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),02/27/19,02/27/19,04:10 PM,04:10 PM,False,True,02/27/19,12:10 PM,12:10 PM,FREE,BUSY
6,02/28/19,01:05 PM,01:05 PM,Mets at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,,02/28/19,02/28/19,04:05 PM,04:05 PM,False,True,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
7,03/01/19,01:05 PM,01:05 PM,Mets at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,,03/01/19,03/01/19,04:05 PM,04:05 PM,False,True,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/02/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,Local TV: WPIX- MLBN (out-of-market only) ----- Local Radio: WCBS 880,03/02/19,03/02/19,04:10 PM,04:10 PM,False,True,03/02/19,12:10 PM,12:10 PM,FREE,BUSY
9,03/03/19,01:05 PM,01:05 PM,Mets at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local Radio: WCBS 880,03/03/19,03/03/19,04:05 PM,04:05 PM,False,True,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/04/19,01:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,,03/04/19,03/04/19,04:05 PM,04:05 PM,False,True,03/04/19,12:05 PM,12:05 PM,FREE,BUSY
11,03/04/19,01:10 PM,01:10 PM,Red Sox at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),03/04/19,03/04/19,04:10 PM,04:10 PM,False,True,03/04/19,12:10 PM,12:10 PM,FREE,BUSY
12,03/05/19,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,,03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/07/19,01:05 PM,01:05 PM,Mets at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
14,03/08/19,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,Local TV: SNY,03/08/19,03/08/19,04:10 PM,04:10 PM,False,True,03/08/19,12:10 PM,12:10 PM,FREE,BUSY
15,03/09/19,01:05 PM,01:05 PM,Mets at Red Sox,JetBlue Park - Ft. Myers,,03/09/19,03/09/19,04:05 PM,04:05 PM,False,True,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
16,03/10/19,01:10 PM,01:10 PM,Cardinals at Mets,First Data Field - Port St. Lucie,Local TV: WPIX ----- Local Radio: WCBS 880- ESPN Deportes,03/10/19,03/10/19,04:10 PM,04:10 PM,False,True,03/10/19,12:10 PM,12:10 PM,FREE,BUSY
17,03/11/19,01:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MLBN,03/11/19,03/11/19,04:05 PM,04:05 PM,False,True,03/11/19,12:05 PM,12:05 PM,FREE,BUSY
18,03/12/19,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,,03/12/19,03/12/19,04:05 PM,04:05 PM,False,True,03/12/19,12:05 PM,12:05 PM,FREE,BUSY
19,03/13/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,Local TV: SNY,03/13/19,03/13/19,04:10 PM,04:10 PM,False,True,03/13/19,12:10 PM,12:10 PM,FREE,BUSY
20,03/14/19,01:05 PM,01:05 PM,Mets at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,,03/14/19,03/14/19,04:05 PM,04:05 PM,False,True,03/14/19,12:05 PM,12:05 PM,FREE,BUSY
21,03/15/19,01:10 PM,01:10 PM,Nationals at Mets,First Data Field - Port St. Lucie,Local TV: SNY,03/15/19,03/15/19,04:10 PM,04:10 PM,False,True,03/15/19,12:10 PM,12:10 PM,FREE,BUSY
22,03/16/19,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,Local Radio: WCBS 880,03/16/19,03/16/19,04:05 PM,04:05 PM,False,True,03/16/19,12:05 PM,12:05 PM,FREE,BUSY
23,03/17/19,01:05 PM,01:05 PM,Mets at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: WCBS 880,03/17/19,03/17/19,04:05 PM,04:05 PM,False,True,03/17/19,12:05 PM,12:05 PM,FREE,BUSY
24,03/18/19,01:10 PM,01:10 PM,Nationals at Mets,First Data Field - Port St. Lucie,Local TV: SNY,03/18/19,03/18/19,04:10 PM,04:10 PM,False,True,03/18/19,12:10 PM,12:10 PM,FREE,BUSY
25,03/21/19,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),03/21/19,03/21/19,04:10 PM,04:10 PM,False,True,03/21/19,12:10 PM,12:10 PM,FREE,BUSY
26,03/22/19,01:10 PM,01:10 PM,Cardinals at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),03/22/19,03/22/19,04:10 PM,04:10 PM,False,True,03/22/19,12:10 PM,12:10 PM,FREE,BUSY
