,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,06:35 PM,06:35 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MASN ----- Local Radio: 106.7 The Fan,02/23/19,02/23/19,09:35 PM,09:35 PM,False,True,02/23/19,05:35 PM,05:35 PM,FREE,BUSY
1,02/24/19,01:05 PM,01:05 PM,Nationals at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local TV: ESPN+,02/24/19,02/24/19,04:05 PM,04:05 PM,False,True,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/25/19,01:05 PM,01:05 PM,Nationals at Braves,Champion Stadium - Lake Buena Vista,,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/26/19,01:05 PM,01:05 PM,Cardinals at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,,02/26/19,02/26/19,04:05 PM,04:05 PM,False,True,02/26/19,12:05 PM,12:05 PM,FREE,BUSY
4,02/27/19,01:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ESPN+,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
5,02/28/19,01:05 PM,01:05 PM,Nationals at Red Sox,JetBlue Park - Ft. Myers,,02/28/19,02/28/19,04:05 PM,04:05 PM,False,True,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/01/19,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,,03/01/19,03/01/19,04:05 PM,04:05 PM,False,True,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
7,03/02/19,01:05 PM,01:05 PM,Twins at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: 106.7 The Fan,03/02/19,03/02/19,04:05 PM,04:05 PM,False,True,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/03/19,01:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,,03/03/19,03/03/19,04:05 PM,04:05 PM,False,True,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
9,03/04/19,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,,03/04/19,03/04/19,04:05 PM,04:05 PM,False,True,03/04/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/05/19,01:05 PM,01:05 PM,Red Sox at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MASN,03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
