,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/22/19,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: 94 WIP,02/22/19,02/22/19,04:05 PM,04:05 PM,False,True,02/22/19,12:05 PM,12:05 PM,FREE,BUSY
1,02/23/19,01:05 PM,01:05 PM,Pirates at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+ ----- Local Radio: 94 WIP,02/23/19,02/23/19,04:05 PM,04:05 PM,False,True,02/23/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/24/19,01:05 PM,01:05 PM,Phillies at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: 94 WIP,02/24/19,02/24/19,04:05 PM,04:05 PM,False,True,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/25/19,01:05 PM,01:05 PM,Tigers at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
4,02/27/19,01:05 PM,01:05 PM,Twins at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
5,02/28/19,01:05 PM,01:05 PM,Orioles at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+- MLBN (out-of-market only),02/28/19,02/28/19,04:05 PM,04:05 PM,False,True,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
6,02/28/19,01:07 PM,01:07 PM,Phillies at Blue Jays,Dunedin Stadium - Dunedin,,02/28/19,02/28/19,04:07 PM,04:07 PM,False,True,02/28/19,12:07 PM,12:07 PM,FREE,BUSY
7,03/01/19,01:05 PM,01:05 PM,Pirates at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,03/01/19,03/01/19,04:05 PM,04:05 PM,False,True,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/02/19,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: 94 WIP,03/02/19,03/02/19,04:05 PM,04:05 PM,False,True,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
9,03/03/19,01:05 PM,01:05 PM,Phillies at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: 94 WIP,03/03/19,03/03/19,04:05 PM,04:05 PM,False,True,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/05/19,01:05 PM,01:05 PM,Cardinals at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+- MLBN (out-of-market only),03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
11,03/06/19,01:07 PM,01:07 PM,Phillies at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/06/19,03/06/19,04:07 PM,04:07 PM,False,True,03/06/19,12:07 PM,12:07 PM,FREE,BUSY
12,03/07/19,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/07/19,01:05 PM,01:05 PM,Phillies at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
14,03/08/19,06:05 PM,06:05 PM,Phillies at Braves,Champion Stadium - Lake Buena Vista,Local Radio: 94 WIP,03/08/19,03/08/19,09:05 PM,09:05 PM,False,True,03/08/19,05:05 PM,05:05 PM,FREE,BUSY
15,03/09/19,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP ----- Local Radio: 94 WIP,03/09/19,03/09/19,04:05 PM,04:05 PM,False,True,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
16,03/10/19,01:05 PM,01:05 PM,Phillies at Orioles,Ed Smith Stadium - Sarasota,Local Radio: 94 WIP,03/10/19,03/10/19,04:05 PM,04:05 PM,False,True,03/10/19,12:05 PM,12:05 PM,FREE,BUSY
17,03/11/19,01:05 PM,01:05 PM,Rays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,03/11/19,03/11/19,04:05 PM,04:05 PM,False,True,03/11/19,12:05 PM,12:05 PM,FREE,BUSY
18,03/13/19,06:35 PM,06:35 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,Local Radio: 94 WIP,03/13/19,03/13/19,09:35 PM,09:35 PM,False,True,03/13/19,05:35 PM,05:35 PM,FREE,BUSY
19,03/14/19,01:05 PM,01:05 PM,Phillies at Pirates,LECOM Park - Bradenton,Local Radio: MLB.com,03/14/19,03/14/19,04:05 PM,04:05 PM,False,True,03/14/19,12:05 PM,12:05 PM,FREE,BUSY
20,03/14/19,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,,03/14/19,03/14/19,04:05 PM,04:05 PM,False,True,03/14/19,12:05 PM,12:05 PM,FREE,BUSY
21,03/15/19,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,03/15/19,03/15/19,04:05 PM,04:05 PM,False,True,03/15/19,12:05 PM,12:05 PM,FREE,BUSY
22,03/16/19,01:05 PM,01:05 PM,Astros at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP ----- Local Radio: 94 WIP,03/16/19,03/16/19,04:05 PM,04:05 PM,False,True,03/16/19,12:05 PM,12:05 PM,FREE,BUSY
23,03/17/19,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP ----- Local Radio: 94 WIP,03/17/19,03/17/19,04:05 PM,04:05 PM,False,True,03/17/19,12:05 PM,12:05 PM,FREE,BUSY
24,03/18/19,01:05 PM,01:05 PM,Phillies at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,Local TV: MLBN ----- Local Radio: MLB.com,03/18/19,03/18/19,04:05 PM,04:05 PM,False,True,03/18/19,12:05 PM,12:05 PM,FREE,BUSY
25,03/20/19,01:05 PM,01:05 PM,Tigers at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,03/20/19,03/20/19,04:05 PM,04:05 PM,False,True,03/20/19,12:05 PM,12:05 PM,FREE,BUSY
26,03/21/19,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+- MLBN (out-of-market only),03/21/19,03/21/19,04:05 PM,04:05 PM,False,True,03/21/19,12:05 PM,12:05 PM,FREE,BUSY
27,03/22/19,06:35 PM,06:35 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,Local Radio: 94 WIP,03/22/19,03/22/19,09:35 PM,09:35 PM,False,True,03/22/19,05:35 PM,05:35 PM,FREE,BUSY
28,03/23/19,01:05 PM,01:05 PM,Phillies at Pirates,LECOM Park - Bradenton,Local Radio: 94 WIP,03/23/19,03/23/19,04:05 PM,04:05 PM,False,True,03/23/19,12:05 PM,12:05 PM,FREE,BUSY
29,03/24/19,01:05 PM,01:05 PM,Orioles at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP ----- Local Radio: 94 WIP,03/24/19,03/24/19,04:05 PM,04:05 PM,False,True,03/24/19,12:05 PM,12:05 PM,FREE,BUSY
30,03/25/19,01:05 PM,01:05 PM,Rays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+- MLBN (out-of-market only),03/25/19,03/25/19,04:05 PM,04:05 PM,False,True,03/25/19,12:05 PM,12:05 PM,FREE,BUSY
31,03/28/19,03:05 PM,03:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBC 10 ----- Local Radio: 94 WIP- WTTM 1680,03/28/19,03/28/19,06:05 PM,06:05 PM,False,True,03/28/19,02:05 PM,02:05 PM,FREE,BUSY
32,03/30/19,04:05 PM,04:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+- FS1 ----- Local Radio: 94 WIP- WTTM 1680,03/30/19,03/30/19,07:05 PM,07:05 PM,False,True,03/30/19,03:05 PM,03:05 PM,FREE,BUSY
33,03/31/19,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: ESPN ----- Local Radio: 94 WIP- WTTM 1680,03/31/19,03/31/19,10:05 PM,10:05 PM,False,True,03/31/19,06:05 PM,06:05 PM,FREE,BUSY
34,04/02/19,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,Local TV: NBCSP+- MLBN (out-of-market only) ----- Local Radio: 94 WIP- WTTM 1680,04/02/19,04/02/19,10:05 PM,10:05 PM,False,True,04/02/19,06:05 PM,06:05 PM,FREE,BUSY
35,04/03/19,01:05 PM,01:05 PM,Phillies at Nationals,Nationals Park - Washington,Local TV: NBCSP- MLBN (out-of-market only) ----- Local Radio: 94 WIP- WTTM 1680,04/03/19,04/03/19,04:05 PM,04:05 PM,False,True,04/03/19,12:05 PM,12:05 PM,FREE,BUSY
36,04/05/19,07:05 PM,07:05 PM,Twins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBC 10 ----- Local Radio: 94 WIP- WTTM 1680,04/05/19,04/05/19,10:05 PM,10:05 PM,False,True,04/05/19,06:05 PM,06:05 PM,FREE,BUSY
37,04/06/19,02:05 PM,02:05 PM,Twins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/06/19,04/06/19,05:05 PM,05:05 PM,False,True,04/06/19,01:05 PM,01:05 PM,FREE,BUSY
38,04/07/19,01:05 PM,01:05 PM,Twins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/07/19,04/07/19,04:05 PM,04:05 PM,False,True,04/07/19,12:05 PM,12:05 PM,FREE,BUSY
39,04/08/19,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/08/19,04/08/19,10:05 PM,10:05 PM,False,True,04/08/19,06:05 PM,06:05 PM,FREE,BUSY
40,04/09/19,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/09/19,04/09/19,10:05 PM,10:05 PM,False,True,04/09/19,06:05 PM,06:05 PM,FREE,BUSY
41,04/10/19,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/10/19,04/10/19,10:05 PM,10:05 PM,False,True,04/10/19,06:05 PM,06:05 PM,FREE,BUSY
42,04/12/19,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park - Miami,Local TV: NBC 10 ----- Local Radio: 94 WIP- WTTM 1680,04/12/19,04/12/19,10:10 PM,10:10 PM,False,True,04/12/19,06:10 PM,06:10 PM,FREE,BUSY
43,04/13/19,06:10 PM,06:10 PM,Phillies at Marlins,Marlins Park - Miami,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/13/19,04/13/19,09:10 PM,09:10 PM,False,True,04/13/19,05:10 PM,05:10 PM,FREE,BUSY
44,04/14/19,01:10 PM,01:10 PM,Phillies at Marlins,Marlins Park - Miami,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/14/19,04/14/19,04:10 PM,04:10 PM,False,True,04/14/19,12:10 PM,12:10 PM,FREE,BUSY
45,04/15/19,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+- ESPN ----- Local Radio: 94 WIP- WTTM 1680,04/15/19,04/15/19,10:05 PM,10:05 PM,False,True,04/15/19,06:05 PM,06:05 PM,FREE,BUSY
46,04/16/19,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/16/19,04/16/19,10:05 PM,10:05 PM,False,True,04/16/19,06:05 PM,06:05 PM,FREE,BUSY
47,04/17/19,01:05 PM,01:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP- MLBN (out-of-market only) ----- Local Radio: 94 WIP- WTTM 1680,04/17/19,04/17/19,04:05 PM,04:05 PM,False,True,04/17/19,12:05 PM,12:05 PM,FREE,BUSY
48,04/18/19,08:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/18/19,04/18/19,11:40 PM,11:40 PM,False,True,04/18/19,07:40 PM,07:40 PM,FREE,BUSY
49,04/19/19,08:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,Local TV: NBCSP- FB-WATCH (out-of-market only) ----- Local Radio: 94 WIP- WTTM 1680,04/19/19,04/19/19,11:40 PM,11:40 PM,False,True,04/19/19,07:40 PM,07:40 PM,FREE,BUSY
50,04/20/19,08:10 PM,08:10 PM,Phillies at Rockies,Coors Field - Denver,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/20/19,04/20/19,11:10 PM,11:10 PM,False,True,04/20/19,07:10 PM,07:10 PM,FREE,BUSY
51,04/21/19,03:10 PM,03:10 PM,Phillies at Rockies,Coors Field - Denver,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/21/19,04/21/19,06:10 PM,06:10 PM,False,True,04/21/19,02:10 PM,02:10 PM,FREE,BUSY
52,04/22/19,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: ESPN- NBCSP- ESPN Deportes- WatchESPN ----- Local Radio: 94 WIP- WTTM 1680,04/22/19,04/22/19,10:10 PM,10:10 PM,False,True,04/22/19,06:10 PM,06:10 PM,FREE,BUSY
53,04/23/19,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/23/19,04/23/19,10:10 PM,10:10 PM,False,True,04/23/19,06:10 PM,06:10 PM,FREE,BUSY
54,04/24/19,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: NBCSP- ESPN (out-of-market only) ----- Local Radio: 94 WIP- WTTM 1680,04/24/19,04/24/19,10:10 PM,10:10 PM,False,True,04/24/19,06:10 PM,06:10 PM,FREE,BUSY
55,04/25/19,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/25/19,04/25/19,10:05 PM,10:05 PM,False,True,04/25/19,06:05 PM,06:05 PM,FREE,BUSY
56,04/26/19,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/26/19,04/26/19,10:05 PM,10:05 PM,False,True,04/26/19,06:05 PM,06:05 PM,FREE,BUSY
