,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,01:05 PM,01:05 PM,Pirates at Phillies,Spectrum Field - Clearwater,Local Radio: KDKA-FM 93.7,02/23/19,02/23/19,04:05 PM,04:05 PM,False,True,02/23/19,12:05 PM,12:05 PM,FREE,BUSY
1,02/24/19,01:05 PM,01:05 PM,Marlins at Pirates,LECOM Park - Bradenton,Local Radio: KDKA-FM 93.7,02/24/19,02/24/19,04:05 PM,04:05 PM,False,True,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/25/19,01:05 PM,01:05 PM,Red Sox at Pirates,LECOM Park - Bradenton,Local Radio: KDKA 1020,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/26/19,01:05 PM,01:05 PM,Pirates at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: MLB.com,02/26/19,02/26/19,04:05 PM,04:05 PM,False,True,02/26/19,12:05 PM,12:05 PM,FREE,BUSY
4,02/27/19,01:05 PM,01:05 PM,Blue Jays at Pirates,LECOM Park - Bradenton,Local Radio: MLB.com,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
5,02/28/19,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field - Tampa,Local Radio: MLB.com,02/28/19,02/28/19,04:05 PM,04:05 PM,False,True,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/01/19,01:05 PM,01:05 PM,Pirates at Phillies,Spectrum Field - Clearwater,Local Radio: KDKA-FM 93.7,03/01/19,03/01/19,04:05 PM,04:05 PM,False,True,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
7,03/01/19,01:07 PM,01:07 PM,Pirates at Blue Jays,Dunedin Stadium - Dunedin,,03/01/19,03/01/19,04:07 PM,04:07 PM,False,True,03/01/19,12:07 PM,12:07 PM,FREE,BUSY
8,03/02/19,01:05 PM,01:05 PM,Yankees at Pirates,LECOM Park - Bradenton,Local Radio: MLB.com,03/02/19,03/02/19,04:05 PM,04:05 PM,False,True,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
9,03/03/19,01:05 PM,01:05 PM,Rays at Pirates,LECOM Park - Bradenton,Local Radio: KDKA-FM 93.7,03/03/19,03/03/19,04:05 PM,04:05 PM,False,True,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/05/19,01:05 PM,01:05 PM,Pirates at Orioles,Ed Smith Stadium - Sarasota,Local Radio: MLB.com,03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
11,03/06/19,01:05 PM,01:05 PM,Pirates at Red Sox,JetBlue Park - Ft. Myers,Local TV: ESPN ----- Local Radio: MLB.com,03/06/19,03/06/19,04:05 PM,04:05 PM,False,True,03/06/19,12:05 PM,12:05 PM,FREE,BUSY
12,03/07/19,01:05 PM,01:05 PM,Orioles at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/08/19,01:05 PM,01:05 PM,Blue Jays at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT,03/08/19,03/08/19,04:05 PM,04:05 PM,False,True,03/08/19,12:05 PM,12:05 PM,FREE,BUSY
14,03/08/19,01:07 PM,01:07 PM,Pirates at Blue Jays,Dunedin Stadium - Dunedin,,03/08/19,03/08/19,04:07 PM,04:07 PM,False,True,03/08/19,12:07 PM,12:07 PM,FREE,BUSY
15,03/09/19,01:05 PM,01:05 PM,Twins at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT,03/09/19,03/09/19,04:05 PM,04:05 PM,False,True,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
16,03/10/19,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field - Tampa,Local Radio: KDKA-FM 93.7,03/10/19,03/10/19,04:05 PM,04:05 PM,False,True,03/10/19,12:05 PM,12:05 PM,FREE,BUSY
17,03/11/19,01:05 PM,01:05 PM,Pirates at Braves,Champion Stadium - Lake Buena Vista,Local Radio: MLB.com,03/11/19,03/11/19,04:05 PM,04:05 PM,False,True,03/11/19,12:05 PM,12:05 PM,FREE,BUSY
18,03/12/19,01:05 PM,01:05 PM,Twins at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT- MLBN ----- Local Radio: KDKA-FM 93.7,03/12/19,03/12/19,04:05 PM,04:05 PM,False,True,03/12/19,12:05 PM,12:05 PM,FREE,BUSY
19,03/14/19,01:05 PM,01:05 PM,Phillies at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT,03/14/19,03/14/19,04:05 PM,04:05 PM,False,True,03/14/19,12:05 PM,12:05 PM,FREE,BUSY
20,03/15/19,06:05 PM,06:05 PM,Rays at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,03/15/19,03/15/19,09:05 PM,09:05 PM,False,True,03/15/19,05:05 PM,05:05 PM,FREE,BUSY
21,03/16/19,01:05 PM,01:05 PM,Pirates at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: KDKA-FM 93.7,03/16/19,03/16/19,04:05 PM,04:05 PM,False,True,03/16/19,12:05 PM,12:05 PM,FREE,BUSY
22,03/17/19,01:05 PM,01:05 PM,Red Sox at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,03/17/19,03/17/19,04:05 PM,04:05 PM,False,True,03/17/19,12:05 PM,12:05 PM,FREE,BUSY
23,03/18/19,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: MLB.com,03/18/19,03/18/19,04:05 PM,04:05 PM,False,True,03/18/19,12:05 PM,12:05 PM,FREE,BUSY
24,03/19/19,01:05 PM,01:05 PM,Tigers at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT- MLBN (out-of-market only) ----- Local Radio: KDKA 1020,03/19/19,03/19/19,04:05 PM,04:05 PM,False,True,03/19/19,12:05 PM,12:05 PM,FREE,BUSY
25,03/20/19,01:05 PM,01:05 PM,Pirates at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: MLB.com,03/20/19,03/20/19,04:05 PM,04:05 PM,False,True,03/20/19,12:05 PM,12:05 PM,FREE,BUSY
26,03/21/19,01:05 PM,01:05 PM,Orioles at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT,03/21/19,03/21/19,04:05 PM,04:05 PM,False,True,03/21/19,12:05 PM,12:05 PM,FREE,BUSY
27,03/22/19,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: MLB.com,03/22/19,03/22/19,04:05 PM,04:05 PM,False,True,03/22/19,12:05 PM,12:05 PM,FREE,BUSY
28,03/23/19,01:05 PM,01:05 PM,Phillies at Pirates,LECOM Park - Bradenton,Local TV: ATT SportsNet-PIT,03/23/19,03/23/19,04:05 PM,04:05 PM,False,True,03/23/19,12:05 PM,12:05 PM,FREE,BUSY
29,03/23/19,01:05 PM,01:05 PM,Pirates at Red Sox,JetBlue Park - Ft. Myers,Local Radio: KDKA-FM 93.7,03/23/19,03/23/19,04:05 PM,04:05 PM,False,True,03/23/19,12:05 PM,12:05 PM,FREE,BUSY
30,03/24/19,01:05 PM,01:05 PM,Pirates at Orioles,Ed Smith Stadium - Sarasota,Local Radio: KDKA-FM 93.7,03/24/19,03/24/19,04:05 PM,04:05 PM,False,True,03/24/19,12:05 PM,12:05 PM,FREE,BUSY
31,03/25/19,08:10 PM,08:10 PM,Pirates at Astros,Minute Maid Park - Houston,Local Radio: KDKA-FM 93.7,03/25/19,03/25/19,11:10 PM,11:10 PM,False,True,03/25/19,07:10 PM,07:10 PM,FREE,BUSY
32,03/26/19,02:10 PM,02:10 PM,Pirates at Astros,Minute Maid Park - Houston,Local Radio: KDKA 1020,03/26/19,03/26/19,05:10 PM,05:10 PM,False,True,03/26/19,01:10 PM,01:10 PM,FREE,BUSY
33,03/28/19,04:10 PM,04:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,03/28/19,03/28/19,07:10 PM,07:10 PM,False,True,03/28/19,03:10 PM,03:10 PM,FREE,BUSY
34,03/31/19,01:10 PM,01:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,03/31/19,03/31/19,04:10 PM,04:10 PM,False,True,03/31/19,12:10 PM,12:10 PM,FREE,BUSY
35,04/01/19,01:05 PM,01:05 PM,Cardinals at Pirates,PNC Park - Pittsburgh,Local TV: ESPN- ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,04/01/19,04/01/19,04:05 PM,04:05 PM,False,True,04/01/19,12:05 PM,12:05 PM,FREE,BUSY
36,04/03/19,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park - Pittsburgh,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,04/03/19,04/03/19,10:05 PM,10:05 PM,False,True,04/03/19,06:05 PM,06:05 PM,FREE,BUSY
37,04/04/19,07:05 PM,07:05 PM,Reds at Pirates,PNC Park - Pittsburgh,Local Radio: KDKA-FM 93.7,04/04/19,04/04/19,10:05 PM,10:05 PM,False,True,04/04/19,06:05 PM,06:05 PM,FREE,BUSY
38,04/05/19,07:05 PM,07:05 PM,Reds at Pirates,PNC Park - Pittsburgh,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,04/05/19,04/05/19,10:05 PM,10:05 PM,False,True,04/05/19,06:05 PM,06:05 PM,FREE,BUSY
39,04/06/19,01:35 PM,01:35 PM,Reds at Pirates,PNC Park - Pittsburgh,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,04/06/19,04/06/19,04:35 PM,04:35 PM,False,True,04/06/19,12:35 PM,12:35 PM,FREE,BUSY
40,04/07/19,01:35 PM,01:35 PM,Reds at Pirates,PNC Park - Pittsburgh,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,04/07/19,04/07/19,04:35 PM,04:35 PM,False,True,04/07/19,12:35 PM,12:35 PM,FREE,BUSY
41,04/08/19,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,Local TV: ATT SportsNet-PIT- MLBN (out-of-market only) ----- Local Radio: KDKA-FM 93.7,04/08/19,04/08/19,05:20 PM,05:20 PM,False,True,04/08/19,01:20 PM,01:20 PM,FREE,BUSY
42,04/10/19,08:05 PM,08:05 PM,Pirates at Cubs,Wrigley Field - Chicago,Local Radio: KDKA-FM 93.7,04/10/19,04/10/19,11:05 PM,11:05 PM,False,True,04/10/19,07:05 PM,07:05 PM,FREE,BUSY
43,04/11/19,07:35 PM,07:35 PM,Pirates at Cubs,Wrigley Field - Chicago,Local TV: ATT SportsNet-PIT- MLBN (out-of-market only) ----- Local Radio: KDKA-FM 93.7,04/11/19,04/11/19,10:35 PM,10:35 PM,False,True,04/11/19,06:35 PM,06:35 PM,FREE,BUSY
44,04/12/19,07:05 PM,07:05 PM,Pirates at Nationals,Nationals Park - Washington,Local Radio: KDKA-FM 93.7,04/12/19,04/12/19,10:05 PM,10:05 PM,False,True,04/12/19,06:05 PM,06:05 PM,FREE,BUSY
45,04/13/19,04:05 PM,04:05 PM,Pirates at Nationals,Nationals Park - Washington,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,04/13/19,04/13/19,07:05 PM,07:05 PM,False,True,04/13/19,03:05 PM,03:05 PM,FREE,BUSY
46,04/14/19,01:35 PM,01:35 PM,Pirates at Nationals,Nationals Park - Washington,Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7,04/14/19,04/14/19,04:35 PM,04:35 PM,False,True,04/14/19,12:35 PM,12:35 PM,FREE,BUSY
