,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,02:05 PM,03:05 PM,Rangers at Royals,Surprise Stadium - Surprise,Local Radio: 105.3 The Fan,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/24/19,03:05 PM,04:05 PM,Brewers at Rangers,Surprise Stadium - Surprise,Local Radio: 105.3 The Fan,02/24/19,02/24/19,06:05 PM,07:05 PM,False,True,02/24/19,02:05 PM,03:05 PM,FREE,BUSY
2,02/25/19,02:05 PM,03:05 PM,Rangers at Indians,Goodyear Ballpark - Goodyear,Local Radio: MLB.com,02/25/19,02/25/19,05:05 PM,06:05 PM,False,True,02/25/19,01:05 PM,02:05 PM,FREE,BUSY
3,02/26/19,02:10 PM,03:10 PM,Rangers at Mariners,Peoria Stadium - Peoria,Local Radio: MLB.com,02/26/19,02/26/19,05:10 PM,06:10 PM,False,True,02/26/19,01:10 PM,02:10 PM,FREE,BUSY
4,02/27/19,02:05 PM,03:05 PM,Cubs at Rangers,Surprise Stadium - Surprise,Local Radio: MLB.com,02/27/19,02/27/19,05:05 PM,06:05 PM,False,True,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
5,02/28/19,02:10 PM,03:10 PM,Rangers at Angels,Tempe Diablo Stadium - Tempe,Local TV: FSSW ----- Local Radio: MLB.com,02/28/19,02/28/19,05:10 PM,06:10 PM,False,True,02/28/19,01:10 PM,02:10 PM,FREE,BUSY
6,03/01/19,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,Local Radio: 105.3 The Fan (delay),03/01/19,03/01/19,05:05 PM,06:05 PM,False,True,03/01/19,01:05 PM,02:05 PM,FREE,BUSY
7,03/02/19,02:05 PM,03:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,Local Radio: 105.3 The Fan,03/02/19,03/02/19,05:05 PM,06:05 PM,False,True,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
8,03/03/19,02:05 PM,03:05 PM,Padres at Rangers,Surprise Stadium - Surprise,Local Radio: 105.3 The Fan,03/03/19,03/03/19,05:05 PM,06:05 PM,False,True,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
9,03/03/19,02:05 PM,03:05 PM,Rangers at Dodgers,Camelback Ranch - Glendale,,03/03/19,03/03/19,05:05 PM,06:05 PM,False,True,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
10,03/04/19,02:05 PM,03:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,Local Radio: MLB.com,03/04/19,03/04/19,05:05 PM,06:05 PM,False,True,03/04/19,01:05 PM,02:05 PM,FREE,BUSY
11,03/05/19,02:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,Local Radio: MLB.com,03/05/19,03/05/19,05:05 PM,06:05 PM,False,True,03/05/19,01:05 PM,02:05 PM,FREE,BUSY
12,03/06/19,02:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,Local Radio: MLB.com,03/06/19,03/06/19,05:05 PM,06:05 PM,False,True,03/06/19,01:05 PM,02:05 PM,FREE,BUSY
13,03/07/19,02:10 PM,03:10 PM,Rangers at Padres,Peoria Stadium - Peoria,Local TV: FSSW ----- Local Radio: MLB.com,03/07/19,03/07/19,05:10 PM,06:10 PM,False,True,03/07/19,01:10 PM,02:10 PM,FREE,BUSY
14,03/08/19,02:10 PM,03:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local Radio: 105.3 The Fan (delay),03/08/19,03/08/19,05:10 PM,06:10 PM,False,True,03/08/19,01:10 PM,02:10 PM,FREE,BUSY
15,03/09/19,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,Local Radio: 105.3 The Fan,03/09/19,03/09/19,05:05 PM,06:05 PM,False,True,03/09/19,01:05 PM,02:05 PM,FREE,BUSY
16,03/10/19,03:05 PM,04:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,Local Radio: 105.3 The Fan,03/10/19,03/10/19,06:05 PM,07:05 PM,False,True,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
17,03/11/19,03:05 PM,04:05 PM,Angels at Rangers,Surprise Stadium - Surprise,Local TV: FSSW,03/11/19,03/11/19,06:05 PM,07:05 PM,False,True,03/11/19,02:05 PM,03:05 PM,FREE,BUSY
18,03/11/19,09:05 PM,10:05 PM,Royals at Rangers,Surprise Stadium - Surprise,Local TV: FSSW ----- Local Radio: 105.3 The Fan,03/12/19,03/12/19,12:05 AM,01:05 AM,False,True,03/11/19,08:05 PM,09:05 PM,FREE,BUSY
19,03/14/19,03:05 PM,04:05 PM,Rangers at Cubs,Sloan Park - Mesa,,03/14/19,03/14/19,06:05 PM,07:05 PM,False,True,03/14/19,02:05 PM,03:05 PM,FREE,BUSY
20,03/14/19,03:05 PM,04:05 PM,Rangers at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,03/14/19,03/14/19,06:05 PM,07:05 PM,False,True,03/14/19,02:05 PM,03:05 PM,FREE,BUSY
21,03/15/19,03:05 PM,04:05 PM,Indians at Rangers,Surprise Stadium - Surprise,Local TV: Texas 21,03/15/19,03/15/19,06:05 PM,07:05 PM,False,True,03/15/19,02:05 PM,03:05 PM,FREE,BUSY
22,03/16/19,03:05 PM,04:05 PM,Rangers at Reds,Goodyear Ballpark - Goodyear,Local Radio: 105.3 The Fan,03/16/19,03/16/19,06:05 PM,07:05 PM,False,True,03/16/19,02:05 PM,03:05 PM,FREE,BUSY
23,03/17/19,03:05 PM,04:05 PM,D-backs at Rangers,Surprise Stadium - Surprise,Local TV: Texas 21 ----- Local Radio: 105.3 The Fan,03/17/19,03/17/19,06:05 PM,07:05 PM,False,True,03/17/19,02:05 PM,03:05 PM,FREE,BUSY
24,03/18/19,09:05 PM,10:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,Local TV: Texas 21- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan,03/19/19,03/19/19,12:05 AM,01:05 AM,False,True,03/18/19,08:05 PM,09:05 PM,FREE,BUSY
25,03/19/19,03:05 PM,04:05 PM,Rangers at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: MLB.com,03/19/19,03/19/19,06:05 PM,07:05 PM,False,True,03/19/19,02:05 PM,03:05 PM,FREE,BUSY
26,03/20/19,03:05 PM,04:05 PM,Reds at Rangers,Surprise Stadium - Surprise,Local TV: FSSW,03/20/19,03/20/19,06:05 PM,07:05 PM,False,True,03/20/19,02:05 PM,03:05 PM,FREE,BUSY
27,03/21/19,03:05 PM,04:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,,03/21/19,03/21/19,06:05 PM,07:05 PM,False,True,03/21/19,02:05 PM,03:05 PM,FREE,BUSY
28,03/21/19,03:05 PM,04:05 PM,Indians at Rangers,Surprise Stadium - Surprise,Local TV: FSSW,03/21/19,03/21/19,06:05 PM,07:05 PM,False,True,03/21/19,02:05 PM,03:05 PM,FREE,BUSY
29,03/22/19,03:05 PM,04:05 PM,Rangers at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/22/19,03/22/19,06:05 PM,07:05 PM,False,True,03/22/19,02:05 PM,03:05 PM,FREE,BUSY
30,03/23/19,02:05 PM,03:05 PM,Brewers at Rangers,Surprise Stadium - Surprise,Local Radio: 105.3 The Fan,03/23/19,03/23/19,05:05 PM,06:05 PM,False,True,03/23/19,01:05 PM,02:05 PM,FREE,BUSY
31,03/24/19,01:05 PM,02:05 PM,Rangers at Sounds,First Tennessee Park - Nashville,Local Radio: 105.3 The Fan,03/24/19,03/24/19,04:05 PM,05:05 PM,False,True,03/24/19,12:05 PM,01:05 PM,FREE,BUSY
32,03/24/19,02:05 PM,03:05 PM,Royals at Rangers,Surprise Stadium - Surprise,,03/24/19,03/24/19,05:05 PM,06:05 PM,False,True,03/24/19,01:05 PM,02:05 PM,FREE,BUSY
33,03/25/19,07:05 PM,08:05 PM,Indians at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSSW- FSSW+- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270,03/25/19,03/25/19,10:05 PM,11:05 PM,False,True,03/25/19,06:05 PM,07:05 PM,FREE,BUSY
34,03/26/19,01:05 PM,02:05 PM,Indians at Rangers,Globe Life Park in Arlington - Arlington,Local Radio: MLB.com,03/26/19,03/26/19,04:05 PM,05:05 PM,False,True,03/26/19,12:05 PM,01:05 PM,FREE,BUSY
35,03/28/19,03:05 PM,04:05 PM,Cubs at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270- KKDA 730 AM,03/28/19,03/28/19,06:05 PM,07:05 PM,False,True,03/28/19,02:05 PM,03:05 PM,FREE,BUSY
36,03/30/19,07:05 PM,08:05 PM,Cubs at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270,03/30/19,03/30/19,10:05 PM,11:05 PM,False,True,03/30/19,06:05 PM,07:05 PM,FREE,BUSY
37,03/31/19,03:05 PM,04:05 PM,Cubs at Rangers,Globe Life Park in Arlington - Arlington,Local TV: ESPN- FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270,03/31/19,03/31/19,06:05 PM,07:05 PM,False,True,03/31/19,02:05 PM,03:05 PM,FREE,BUSY
38,04/01/19,07:05 PM,08:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270,04/01/19,04/01/19,10:05 PM,11:05 PM,False,True,04/01/19,06:05 PM,07:05 PM,FREE,BUSY
39,04/02/19,07:05 PM,08:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270,04/02/19,04/02/19,10:05 PM,11:05 PM,False,True,04/02/19,06:05 PM,07:05 PM,FREE,BUSY
40,04/03/19,07:05 PM,08:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSSW+ ----- Local Radio: 105.3 The Fan- KFLC 1270,04/03/19,04/03/19,10:05 PM,11:05 PM,False,True,04/03/19,06:05 PM,07:05 PM,FREE,BUSY
41,04/04/19,09:07 PM,10:07 PM,Rangers at Angels,Angel Stadium - Anaheim,Local TV: FSSW- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270,04/05/19,04/05/19,12:07 AM,01:07 AM,False,True,04/04/19,08:07 PM,09:07 PM,FREE,BUSY
42,04/05/19,09:07 PM,10:07 PM,Rangers at Angels,Angel Stadium - Anaheim,Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270,04/06/19,04/06/19,12:07 AM,01:07 AM,False,True,04/05/19,08:07 PM,09:07 PM,FREE,BUSY
