,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/22/19,01:05 PM,01:05 PM,Huskies at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN- Boston 25,02/22/19,02/22/19,04:05 PM,04:05 PM,False,True,02/22/19,12:05 PM,12:05 PM,FREE,BUSY
1,02/23/19,01:05 PM,01:05 PM,Yankees at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN+ ----- Local Radio: WEEI 93.7,02/23/19,02/23/19,04:05 PM,04:05 PM,False,True,02/23/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/24/19,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 850,02/24/19,02/24/19,04:05 PM,04:05 PM,False,True,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/25/19,01:05 PM,01:05 PM,Red Sox at Pirates,LECOM Park - Bradenton,Local Radio: WEEI 850,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
4,02/27/19,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,Local Radio: WEEI 850,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
5,02/27/19,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park - Port Charlotte,,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
6,02/28/19,01:05 PM,01:05 PM,Nationals at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN- Boston 25 ----- Local Radio: WEEI 850,02/28/19,02/28/19,04:05 PM,04:05 PM,False,True,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
7,03/01/19,01:05 PM,01:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: MLBN ----- Local Radio: WEEI 850,03/01/19,03/01/19,04:05 PM,04:05 PM,False,True,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/02/19,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 850,03/02/19,03/02/19,04:05 PM,04:05 PM,False,True,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
9,03/03/19,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 93.7,03/03/19,03/03/19,04:05 PM,04:05 PM,False,True,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/04/19,01:10 PM,01:10 PM,Red Sox at Mets,First Data Field - Port St. Lucie,Local TV: MLBN ----- Local Radio: WEEI 850,03/04/19,03/04/19,04:10 PM,04:10 PM,False,True,03/04/19,12:10 PM,12:10 PM,FREE,BUSY
11,03/05/19,01:05 PM,01:05 PM,Red Sox at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: WEEI 850,03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
12,03/06/19,01:05 PM,01:05 PM,Pirates at Red Sox,JetBlue Park - Ft. Myers,Local TV: ESPN ----- Local Radio: WEEI 850,03/06/19,03/06/19,04:05 PM,04:05 PM,False,True,03/06/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/07/19,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local TV: ESPN ----- Local Radio: WEEI 850,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
14,03/08/19,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium - Sarasota,Local TV: MLBN ----- Local Radio: WEEI 850,03/08/19,03/08/19,04:05 PM,04:05 PM,False,True,03/08/19,12:05 PM,12:05 PM,FREE,BUSY
