,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,12:05 PM,01:05 PM,Twins at Orioles,Ed Smith Stadium - Sarasota,,02/23/19,02/23/19,03:05 PM,04:05 PM,False,True,02/23/19,11:05 AM,12:05 PM,FREE,BUSY
1,02/23/19,05:05 PM,06:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: TIBN,02/23/19,02/23/19,08:05 PM,09:05 PM,False,True,02/23/19,04:05 PM,05:05 PM,FREE,BUSY
2,02/24/19,12:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local Radio: TIBN- WCCO 830,02/24/19,02/24/19,03:05 PM,04:05 PM,False,True,02/24/19,11:05 AM,12:05 PM,FREE,BUSY
3,02/25/19,12:05 PM,01:05 PM,Orioles at Twins,CenturyLink Sports Complex - Fort Myers,,02/25/19,02/25/19,03:05 PM,04:05 PM,False,True,02/25/19,11:05 AM,12:05 PM,FREE,BUSY
4,02/26/19,12:05 PM,01:05 PM,Pirates at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: WCCO 830,02/26/19,02/26/19,03:05 PM,04:05 PM,False,True,02/26/19,11:05 AM,12:05 PM,FREE,BUSY
5,02/27/19,12:05 PM,01:05 PM,Twins at Phillies,Spectrum Field - Clearwater,,02/27/19,02/27/19,03:05 PM,04:05 PM,False,True,02/27/19,11:05 AM,12:05 PM,FREE,BUSY
6,02/28/19,05:35 PM,06:35 PM,Twins at Rays,Charlotte Sports Park - Port Charlotte,,02/28/19,02/28/19,08:35 PM,09:35 PM,False,True,02/28/19,04:35 PM,05:35 PM,FREE,BUSY
7,03/01/19,12:05 PM,01:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO- MLBN (out-of-market only) ----- Local Radio: TIBN- WCCO 830,03/01/19,03/01/19,03:05 PM,04:05 PM,False,True,03/01/19,11:05 AM,12:05 PM,FREE,BUSY
8,03/02/19,12:05 PM,01:05 PM,Twins at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,,03/02/19,03/02/19,03:05 PM,04:05 PM,False,True,03/02/19,11:05 AM,12:05 PM,FREE,BUSY
9,03/03/19,12:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,,03/03/19,03/03/19,03:05 PM,04:05 PM,False,True,03/03/19,11:05 AM,12:05 PM,FREE,BUSY
10,03/03/19,12:05 PM,01:05 PM,Phillies at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: WCCO 830- TIBN,03/03/19,03/03/19,03:05 PM,04:05 PM,False,True,03/03/19,11:05 AM,12:05 PM,FREE,BUSY
11,03/04/19,12:05 PM,01:05 PM,Orioles at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/04/19,03/04/19,03:05 PM,04:05 PM,False,True,03/04/19,11:05 AM,12:05 PM,FREE,BUSY
12,03/05/19,12:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,,03/05/19,03/05/19,03:05 PM,04:05 PM,False,True,03/05/19,11:05 AM,12:05 PM,FREE,BUSY
13,03/07/19,12:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local TV: ESPN,03/07/19,03/07/19,03:05 PM,04:05 PM,False,True,03/07/19,11:05 AM,12:05 PM,FREE,BUSY
14,03/08/19,12:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: TIBN- WCCO 830,03/08/19,03/08/19,03:05 PM,04:05 PM,False,True,03/08/19,11:05 AM,12:05 PM,FREE,BUSY
15,03/09/19,12:05 PM,01:05 PM,Twins at Pirates,LECOM Park - Bradenton,Local Radio: TIBN- WCCO 830,03/09/19,03/09/19,03:05 PM,04:05 PM,False,True,03/09/19,11:05 AM,12:05 PM,FREE,BUSY
16,03/10/19,12:05 PM,01:05 PM,Blue Jays at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: TIBN- WCCO 830,03/10/19,03/10/19,03:05 PM,04:05 PM,False,True,03/10/19,11:05 AM,12:05 PM,FREE,BUSY
17,03/11/19,12:05 PM,01:05 PM,Tigers at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/11/19,03/11/19,03:05 PM,04:05 PM,False,True,03/11/19,11:05 AM,12:05 PM,FREE,BUSY
18,03/12/19,12:05 PM,01:05 PM,Twins at Pirates,LECOM Park - Bradenton,Local TV: MLBN,03/12/19,03/12/19,03:05 PM,04:05 PM,False,True,03/12/19,11:05 AM,12:05 PM,FREE,BUSY
19,03/13/19,12:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local Radio: TIBN,03/13/19,03/13/19,03:05 PM,04:05 PM,False,True,03/13/19,11:05 AM,12:05 PM,FREE,BUSY
20,03/14/19,12:05 PM,01:05 PM,Twins at Orioles,Ed Smith Stadium - Sarasota,,03/14/19,03/14/19,03:05 PM,04:05 PM,False,True,03/14/19,11:05 AM,12:05 PM,FREE,BUSY
21,03/14/19,12:05 PM,01:05 PM,Nationals at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: TIBN,03/14/19,03/14/19,03:05 PM,04:05 PM,False,True,03/14/19,11:05 AM,12:05 PM,FREE,BUSY
22,03/15/19,12:05 PM,01:05 PM,Orioles at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/15/19,03/15/19,03:05 PM,04:05 PM,False,True,03/15/19,11:05 AM,12:05 PM,FREE,BUSY
23,03/17/19,12:07 PM,01:07 PM,Twins at Blue Jays,Dunedin Stadium - Dunedin,Local TV: MLBN,03/17/19,03/17/19,03:07 PM,04:07 PM,False,True,03/17/19,11:07 AM,12:07 PM,FREE,BUSY
24,03/18/19,12:05 PM,01:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/18/19,03/18/19,03:05 PM,04:05 PM,False,True,03/18/19,11:05 AM,12:05 PM,FREE,BUSY
25,03/20/19,12:05 PM,01:05 PM,Pirates at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN,03/20/19,03/20/19,03:05 PM,04:05 PM,False,True,03/20/19,11:05 AM,12:05 PM,FREE,BUSY
26,03/22/19,05:05 PM,06:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO+ ----- Local Radio: TIBN- WCCO 830,03/22/19,03/22/19,08:05 PM,09:05 PM,False,True,03/22/19,04:05 PM,05:05 PM,FREE,BUSY
27,03/23/19,05:05 PM,06:05 PM,Twins at Orioles,Ed Smith Stadium - Sarasota,Local Radio: TIBN,03/23/19,03/23/19,08:05 PM,09:05 PM,False,True,03/23/19,04:05 PM,05:05 PM,FREE,BUSY
28,03/24/19,12:05 PM,01:05 PM,Yankees at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/24/19,03/24/19,03:05 PM,04:05 PM,False,True,03/24/19,11:05 AM,12:05 PM,FREE,BUSY
29,03/25/19,12:05 PM,01:05 PM,Red Wings at Twins,CenturyLink Sports Complex - Fort Myers,,03/25/19,03/25/19,03:05 PM,04:05 PM,False,True,03/25/19,11:05 AM,12:05 PM,FREE,BUSY
