,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,02:05 PM,03:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/23/19,02:05 PM,03:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
2,02/24/19,02:10 PM,03:10 PM,White Sox at Padres,Peoria Stadium - Peoria,,02/24/19,02/24/19,05:10 PM,06:10 PM,False,True,02/24/19,01:10 PM,02:10 PM,FREE,BUSY
3,02/25/19,02:05 PM,03:05 PM,White Sox at Giants,Scottsdale Stadium - Scottsdale,Local Radio: WGN 720,02/25/19,02/25/19,05:05 PM,06:05 PM,False,True,02/25/19,01:05 PM,02:05 PM,FREE,BUSY
4,02/26/19,02:05 PM,03:05 PM,Royals at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
5,02/27/19,02:05 PM,03:05 PM,Reds at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,02/27/19,02/27/19,05:05 PM,06:05 PM,False,True,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
6,02/28/19,02:10 PM,03:10 PM,White Sox at Mariners,Peoria Stadium - Peoria,,02/28/19,02/28/19,05:10 PM,06:10 PM,False,True,02/28/19,01:10 PM,02:10 PM,FREE,BUSY
7,03/01/19,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,,03/01/19,03/01/19,05:05 PM,06:05 PM,False,True,03/01/19,01:05 PM,02:05 PM,FREE,BUSY
8,03/02/19,02:05 PM,03:05 PM,Rockies at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,03/02/19,03/02/19,05:05 PM,06:05 PM,False,True,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
9,03/03/19,02:05 PM,03:05 PM,White Sox at Cubs,Sloan Park - Mesa,Local Radio: WGN 720,03/03/19,03/03/19,05:05 PM,06:05 PM,False,True,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
10,03/04/19,02:05 PM,03:05 PM,Angels at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,03/04/19,03/04/19,05:05 PM,06:05 PM,False,True,03/04/19,01:05 PM,02:05 PM,FREE,BUSY
11,03/05/19,02:05 PM,03:05 PM,White Sox at Indians,Goodyear Ballpark - Goodyear,,03/05/19,03/05/19,05:05 PM,06:05 PM,False,True,03/05/19,01:05 PM,02:05 PM,FREE,BUSY
12,03/05/19,02:05 PM,03:05 PM,Padres at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,03/05/19,03/05/19,05:05 PM,06:05 PM,False,True,03/05/19,01:05 PM,02:05 PM,FREE,BUSY
13,03/07/19,02:05 PM,03:05 PM,Brewers at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,03/07/19,03/07/19,05:05 PM,06:05 PM,False,True,03/07/19,01:05 PM,02:05 PM,FREE,BUSY
14,03/08/19,02:10 PM,03:10 PM,White Sox at Angels,Tempe Diablo Stadium - Tempe,,03/08/19,03/08/19,05:10 PM,06:10 PM,False,True,03/08/19,01:10 PM,02:10 PM,FREE,BUSY
15,03/09/19,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,,03/09/19,03/09/19,05:05 PM,06:05 PM,False,True,03/09/19,01:05 PM,02:05 PM,FREE,BUSY
16,03/10/19,03:05 PM,04:05 PM,Athletics at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,03/10/19,03/10/19,06:05 PM,07:05 PM,False,True,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
17,03/11/19,03:05 PM,04:05 PM,White Sox at Brewers,American Family Fields of Phoenix - Phoenix,,03/11/19,03/11/19,06:05 PM,07:05 PM,False,True,03/11/19,02:05 PM,03:05 PM,FREE,BUSY
18,03/13/19,09:05 PM,10:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,Local TV: MLB.com,03/14/19,03/14/19,12:05 AM,01:05 AM,False,True,03/13/19,08:05 PM,09:05 PM,FREE,BUSY
19,03/15/19,03:05 PM,04:05 PM,Cubs at White Sox,Camelback Ranch - Glendale,Local TV: WGN- MLBN (out-of-market only) ----- Local Radio: WGN 720,03/15/19,03/15/19,06:05 PM,07:05 PM,False,True,03/15/19,02:05 PM,03:05 PM,FREE,BUSY
20,03/16/19,03:05 PM,04:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,Local TV: NBC Sports Chicago,03/16/19,03/16/19,06:05 PM,07:05 PM,False,True,03/16/19,02:05 PM,03:05 PM,FREE,BUSY
21,03/17/19,03:10 PM,04:10 PM,White Sox at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: WGN 720,03/17/19,03/17/19,06:10 PM,07:10 PM,False,True,03/17/19,02:10 PM,03:10 PM,FREE,BUSY
22,03/18/19,03:05 PM,04:05 PM,Giants at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,03/18/19,03/18/19,06:05 PM,07:05 PM,False,True,03/18/19,02:05 PM,03:05 PM,FREE,BUSY
23,03/19/19,08:05 PM,09:05 PM,White Sox at Reds,Goodyear Ballpark - Goodyear,Local TV: NBC Sports Chicago ----- Local Radio: WGN 720,03/19/19,03/20/19,11:05 PM,12:05 AM,False,True,03/19/19,07:05 PM,08:05 PM,FREE,BUSY
24,03/20/19,03:05 PM,04:05 PM,D-backs at White Sox,Camelback Ranch - Glendale,Local TV: NBC Sports Chicago,03/20/19,03/20/19,06:05 PM,07:05 PM,False,True,03/20/19,02:05 PM,03:05 PM,FREE,BUSY
25,03/21/19,03:05 PM,04:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,03/21/19,03/21/19,06:05 PM,07:05 PM,False,True,03/21/19,02:05 PM,03:05 PM,FREE,BUSY
26,03/22/19,03:10 PM,04:10 PM,White Sox at Angels,Tempe Diablo Stadium - Tempe,Local TV: NBC Sports Chicago,03/22/19,03/22/19,06:10 PM,07:10 PM,False,True,03/22/19,02:10 PM,03:10 PM,FREE,BUSY
27,03/23/19,02:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,Local TV: MLB.com,03/23/19,03/23/19,05:05 PM,06:05 PM,False,True,03/23/19,01:05 PM,02:05 PM,FREE,BUSY
28,03/24/19,02:05 PM,03:05 PM,Indians at White Sox,Camelback Ranch - Glendale,Local TV: NBC Sports Chicago ----- Local Radio: WGN 720,03/24/19,03/24/19,05:05 PM,06:05 PM,False,True,03/24/19,01:05 PM,02:05 PM,FREE,BUSY
29,03/25/19,08:40 PM,09:40 PM,White Sox at D-backs,Chase Field - Phoenix,,03/25/19,03/26/19,11:40 PM,12:40 AM,False,True,03/25/19,07:40 PM,08:40 PM,FREE,BUSY
30,03/26/19,02:40 PM,03:40 PM,White Sox at D-backs,Chase Field - Phoenix,,03/26/19,03/26/19,05:40 PM,06:40 PM,False,True,03/26/19,01:40 PM,02:40 PM,FREE,BUSY
31,03/28/19,03:15 PM,04:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,Local TV: NBCSCH ----- Local Radio: WGN 720,03/28/19,03/28/19,06:15 PM,07:15 PM,False,True,03/28/19,02:15 PM,03:15 PM,FREE,BUSY
32,03/30/19,01:15 PM,02:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,Local TV: NBCSCH ----- Local Radio: WGN 720,03/30/19,03/30/19,04:15 PM,05:15 PM,False,True,03/30/19,12:15 PM,01:15 PM,FREE,BUSY
33,03/31/19,01:15 PM,02:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,Local TV: WGN ----- Local Radio: WGN 720,03/31/19,03/31/19,04:15 PM,05:15 PM,False,True,03/31/19,12:15 PM,01:15 PM,FREE,BUSY
34,04/01/19,03:10 PM,04:10 PM,White Sox at Indians,Progressive Field - Cleveland,Local TV: WGN- ESPN ----- Local Radio: WGN 720,04/01/19,04/01/19,06:10 PM,07:10 PM,False,True,04/01/19,02:10 PM,03:10 PM,FREE,BUSY
35,04/03/19,12:10 PM,01:10 PM,White Sox at Indians,Progressive Field - Cleveland,Local TV: NBCSCH ----- Local Radio: WGN 720,04/03/19,04/03/19,03:10 PM,04:10 PM,False,True,04/03/19,11:10 AM,12:10 PM,FREE,BUSY
36,04/05/19,01:10 PM,02:10 PM,Mariners at White Sox,Guaranteed Rate Field - Chicago,Local TV: NBCSCH- MLBN (out-of-market only) ----- Local Radio: WGN 720- WRTO 1200,04/05/19,04/05/19,04:10 PM,05:10 PM,False,True,04/05/19,12:10 PM,01:10 PM,FREE,BUSY
37,04/06/19,01:10 PM,02:10 PM,Mariners at White Sox,Guaranteed Rate Field - Chicago,Local TV: WGN ----- Local Radio: WGN 720- WRTO 1200,04/06/19,04/06/19,04:10 PM,05:10 PM,False,True,04/06/19,12:10 PM,01:10 PM,FREE,BUSY
38,04/07/19,01:10 PM,02:10 PM,Mariners at White Sox,Guaranteed Rate Field - Chicago,Local TV: WGN ----- Local Radio: WGN 720- WRTO 1200,04/07/19,04/07/19,04:10 PM,05:10 PM,False,True,04/07/19,12:10 PM,01:10 PM,FREE,BUSY
39,04/08/19,01:10 PM,02:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,Local TV: WGN ----- Local Radio: WGN 720- WRTO 1200,04/08/19,04/08/19,04:10 PM,05:10 PM,False,True,04/08/19,12:10 PM,01:10 PM,FREE,BUSY
40,04/09/19,01:10 PM,02:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200,04/09/19,04/09/19,04:10 PM,05:10 PM,False,True,04/09/19,12:10 PM,01:10 PM,FREE,BUSY
41,04/10/19,01:10 PM,02:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200,04/10/19,04/10/19,04:10 PM,05:10 PM,False,True,04/10/19,12:10 PM,01:10 PM,FREE,BUSY
42,04/12/19,06:05 PM,07:05 PM,White Sox at Yankees,Yankee Stadium - Bronx,Local TV: WGN ----- Local Radio: WGN 720,04/12/19,04/12/19,09:05 PM,10:05 PM,False,True,04/12/19,05:05 PM,06:05 PM,FREE,BUSY
43,04/13/19,12:05 PM,01:05 PM,White Sox at Yankees,Yankee Stadium - Bronx,Local TV: NBCSCH ----- Local Radio: WGN 720,04/13/19,04/13/19,03:05 PM,04:05 PM,False,True,04/13/19,11:05 AM,12:05 PM,FREE,BUSY
44,04/14/19,12:05 PM,01:05 PM,White Sox at Yankees,Yankee Stadium - Bronx,Local TV: NBCSCH- MLBN (out-of-market only) ----- Local Radio: WGN 720,04/14/19,04/14/19,03:05 PM,04:05 PM,False,True,04/14/19,11:05 AM,12:05 PM,FREE,BUSY
45,04/15/19,07:10 PM,08:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200,04/15/19,04/15/19,10:10 PM,11:10 PM,False,True,04/15/19,06:10 PM,07:10 PM,FREE,BUSY
46,04/16/19,07:10 PM,08:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: WGN ----- Local Radio: WGN 720- WRTO 1200,04/16/19,04/16/19,10:10 PM,11:10 PM,False,True,04/16/19,06:10 PM,07:10 PM,FREE,BUSY
47,04/17/19,01:10 PM,02:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200,04/17/19,04/17/19,04:10 PM,05:10 PM,False,True,04/17/19,12:10 PM,01:10 PM,FREE,BUSY
48,04/18/19,12:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,Local TV: WGN ----- Local Radio: WGN 720,04/18/19,04/18/19,03:10 PM,04:10 PM,False,True,04/18/19,11:10 AM,12:10 PM,FREE,BUSY
49,04/19/19,06:10 PM,07:10 PM,White Sox at Tigers,Comerica Park - Detroit,Local TV: NBCSCH ----- Local Radio: WGN 720,04/19/19,04/19/19,09:10 PM,10:10 PM,False,True,04/19/19,05:10 PM,06:10 PM,FREE,BUSY
50,04/21/19,12:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,Local TV: WGN ----- Local Radio: WGN 720,04/21/19,04/21/19,03:10 PM,04:10 PM,False,True,04/21/19,11:10 AM,12:10 PM,FREE,BUSY
51,04/22/19,06:05 PM,07:05 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,Local TV: WGN ----- Local Radio: WGN 720,04/22/19,04/22/19,09:05 PM,10:05 PM,False,True,04/22/19,05:05 PM,06:05 PM,FREE,BUSY
52,04/23/19,06:05 PM,07:05 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,Local TV: NBCSCH+ ----- Local Radio: WGN 720,04/23/19,04/23/19,09:05 PM,10:05 PM,False,True,04/23/19,05:05 PM,06:05 PM,FREE,BUSY
53,04/24/19,06:05 PM,07:05 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,Local TV: NBCSCH ----- Local Radio: WGN 720,04/24/19,04/24/19,09:05 PM,10:05 PM,False,True,04/24/19,05:05 PM,06:05 PM,FREE,BUSY
